,Threshold,True_Positive,False_Positive,True_Negative,False_Negative,Precision,Recall,True_Positive_Rate,False_Positive_Rate,bucket_positives,bucket_negatives,per_bucket_probability
0,-0.0001,112,150777,0,0,0.0007422674946483839,1.0,1.0,1.0,,,
1,0.020666666666666677,89,6139,144638,23,0.014290301862556198,0.7946428571428571,0.7946428571428571,0.04071575903486606,23.0,144638.0,0.0001589924029282253
2,0.168,67,574,150203,45,0.10452418096723869,0.5982142857142857,0.5982142857142857,0.0038069466828495064,22.0,5565.0,0.00393771254698407
3,0.26399999999999996,45,212,150565,67,0.17509727626459143,0.4017857142857143,0.4017857142857143,0.0014060499943625354,22.0,362.0,0.057291666666666664
4,0.5213333333333336,23,30,150747,89,0.4339622641509434,0.20535714285714285,0.20535714285714285,0.00019896933882488708,22.0,182.0,0.10784313725490197
5,1.0,0,0,150777,112,0.0,0.0,0.0,0.0,23.0,30.0,0.4339622641509434
